,MINCODE,DISTRICT_NUMBER_x,NUM_OF_SCHOOLS_IN_DATA_LEVEL,TOTAL_CLASSES,CLASSES_WITH_ED_ASSIST,TOTAL_CLASSES_GREATER_30,AVG_CLASS_SIZE_K,AVG_CLASS_SIZE_1_3,AVG_CLASS_SIZE_4_7,AVG_CLASS_SIZE_8_12,SCHOOL_NUMBER,DISTRICT_NUMBER_y,GRADE_8,GRADE_9,GRADE_10,GRADE_11,GRADE_12
0,01010002,10.0,1,1.2857142857142858,9.018621171237186,9.171096345514952,12.863772939249463,11.428571428571429,15.848067001674975,21.780282519128885,01010002,10.0,0.0,0.0,0.0,0.0,0.0
1,01010003,10.0,1,2.0,7.012533480640414,9.171096345514952,10.307692307692308,10.392307692307693,14.215384615384616,21.780282519128885,01010003,10.0,0.0,0.0,0.0,0.0,0.0
2,01010004,10.0,1,9.846153846153847,10.08694986143541,8.542550472783033,16.86923076923077,19.299999999999997,22.23076923076923,21.780282519128885,01010004,10.0,0.0,0.0,0.0,0.0,0.0
3,01010006,10.0,1,93.46153846153847,19.7792575537431,6.7338359315103515,18.04641057474624,20.101066897347074,24.568234505862414,16.23846153846154,01010006,10.0,4221.0,4128.0,3689.0,2664.0,2268.0
4,01010011,10.0,1,43.30769230769231,18.084443165307327,8.619473549706111,13.576923076923077,15.346153846153847,15.192307692307692,11.123076923076923,01010011,10.0,634.0,805.0,598.0,559.0,451.0
5,01010012,10.0,1,2.4,15.032587049665077,9.17109634551495,18.046410574746247,20.101066897347078,24.568234505862414,9.0,01010012,10.0,0.0,0.0,21.0,54.0,32.0
6,01919003,19.0,1,106.76923076923077,37.53846153846154,5.386659851776131,18.04641057474624,20.101066897347074,24.568234505862414,20.692307692307693,01919003,19.0,6521.0,4544.0,4627.0,4757.0,3835.0
7,01919005,19.0,1,5.833333333333333,4.833333333333333,9.171096345514952,18.400000000000002,20.55,24.066666666666666,21.780282519128885,01919005,19.0,0.0,0.0,0.0,0.0,0.0
8,01919011,19.0,1,6.0,5.666666666666667,9.171096345514952,17.5,20.133333333333336,22.05,21.780282519128885,01919011,19.0,0.0,0.0,0.0,0.0,0.0
9,01919013,19.0,1,9.923076923076923,8.923076923076923,9.171096345514952,16.484615384615385,20.107692307692307,23.43076923076923,21.780282519128885,01919013,19.0,0.0,0.0,0.0,0.0,0.0
10,01919015,19.0,1,6.6923076923076925,6.076923076923077,9.171096345514952,17.53846153846154,20.66153846153846,23.261538461538464,21.780282519128885,01919015,19.0,0.0,0.0,0.0,0.0,0.0
11,01919016,19.0,1,12.0,11.428571428571429,9.171096345514952,16.685714285714287,20.014285714285712,24.042857142857144,21.780282519128885,01919016,19.0,0.0,0.0,0.0,0.0,0.0
12,02009006,20.0,1,14.153846153846153,10.076923076923077,9.171096345514952,18.86923076923077,20.73076923076923,26.48461538461538,21.780282519128885,02009006,20.0,0.0,0.0,0.0,0.0,0.0
13,02009010,20.0,1,141.69230769230768,18.384615384615383,4.835037055967289,18.04641057474624,20.101066897347074,23.255293390026846,23.200000000000003,02009010,20.0,10598.0,7766.0,6773.0,6437.0,5575.0
14,02009011,20.0,1,15.23076923076923,9.923076923076923,7.914004600051114,18.81729800178644,20.23076923076923,26.846153846153847,21.780282519128885,02009011,20.0,0.0,0.0,0.0,0.0,0.0
15,02009017,20.0,1,8.142857142857142,3.7142857142857144,9.171096345514952,18.67142857142857,19.885714285714283,24.568234505862417,21.780282519128885,02009017,20.0,0.0,0.0,0.0,0.0,0.0
16,02011004,20.0,1,9.714285714285714,6.0,9.171096345514952,18.571428571428573,21.414285714285715,25.442857142857143,21.780282519128885,02011004,20.0,0.0,0.0,0.0,0.0,0.0
17,02011005,20.0,1,15.76923076923077,11.76923076923077,9.171096345514952,18.823076923076922,21.23076923076923,26.02307692307693,21.780282519128885,02011005,20.0,0.0,0.0,0.0,0.0,0.0
18,02011009,20.0,1,10.923076923076923,9.923076923076923,9.171096345514952,17.96153846153846,20.76923076923077,25.153846153846153,21.780282519128885,02011009,20.0,0.0,0.0,0.0,0.0,0.0
19,02011012,20.0,1,195.69230769230768,28.312705699948477,6.630590339892667,18.04641057474624,20.101066897347074,24.568234505862414,24.26153846153846,02011012,20.0,13596.0,12847.0,9673.0,9391.0,8351.0
20,02011014,20.0,1,50.61538461538461,15.307692307692308,6.4767441860465125,18.61729800178644,20.63134371395612,26.169230769230765,22.16153846153846,02011014,20.0,2866.0,2765.0,1728.0,1762.0,1508.0
21,02011015,20.0,1,14.384615384615385,10.76923076923077,9.171096345514952,18.46923076923077,20.77692307692308,25.76153846153846,21.780282519128885,02011015,20.0,0.0,0.0,0.0,0.0,0.0
22,02020021,20.0,1,8.692307692307692,6.769230769230769,9.171096345514952,17.200000000000003,21.115384615384617,24.49230769230769,21.780282519128885,02020021,20.0,0.0,0.0,0.0,0.0,0.0
23,02222001,22.0,1,23.692307692307693,13.16637963448657,8.619473549706111,19.07059193636278,21.923076923076927,27.907692307692308,21.780282519128885,02222001,22.0,0.0,0.0,0.0,0.0,0.0
24,02222002,22.0,1,16.076923076923077,10.15885954610232,8.542550472783033,19.53076923076923,21.74615384615385,27.49230769230769,21.780282519128885,02222002,22.0,0.0,0.0,0.0,0.0,0.0
25,02222005,22.0,1,3.4615384615384617,6.702334476820024,9.171096345514952,16.307692307692307,17.23076923076923,21.53846153846154,21.780282519128885,02222005,22.0,0.0,0.0,0.0,0.0,0.0
26,02222006,22.0,1,7.3076923076923075,7.697321084563858,9.171096345514952,17.984615384615385,20.923076923076923,25.1,20.181799248426664,02222006,22.0,0.0,0.0,0.0,0.0,0.0
27,02222007,22.0,1,151.0,17.779257553743097,9.94939943777153,18.04641057474624,20.101066897347074,24.568234505862414,24.292307692307688,02222007,22.0,10302.0,9058.0,9065.0,8741.0,6340.0
28,02222009,22.0,1,16.46153846153846,12.005013392256167,9.171096345514952,19.815384615384616,21.22307692307692,25.5,21.780282519128885,02222009,22.0,0.0,0.0,0.0,0.0,0.0
29,02222010,22.0,1,14.0,10.84866054228193,9.171096345514952,18.73076923076923,21.192307692307686,26.646153846153855,21.780282519128885,02222010,22.0,0.0,0.0,0.0,0.0,0.0
30,02222011,22.0,1,11.0,10.0,9.17109634551495,14.0,18.8,25.0,21.780282519128885,02222011,22.0,0.0,0.0,0.0,0.0,0.0
31,02222012,22.0,1,17.53846153846154,10.540968234589624,9.171096345514952,18.661538461538463,21.51538461538462,26.969230769230766,21.780282519128885,02222012,22.0,0.0,0.0,0.0,0.0,0.0
32,02222013,22.0,1,14.307692307692308,11.69982778069194,9.171096345514952,19.623076923076923,21.569230769230767,27.138461538461538,21.780282519128885,02222013,22.0,0.0,0.0,0.0,0.0,0.0
33,02222014,22.0,1,17.53846153846154,12.005013392256167,9.171096345514952,20.23076923076923,22.007692307692306,26.86923076923077,21.780282519128885,02222014,22.0,0.0,0.0,0.0,0.0,0.0
34,02222015,22.0,1,14.384615384615385,9.31019900382039,9.171096345514952,19.476923076923075,21.092307692307692,28.23076923076923,21.780282519128885,02222015,22.0,0.0,0.0,0.0,0.0,0.0
