District Number,School Code,School Name,Address,City,Province,Postal Code,Principal Title,Principal First name,Principal Last Name,Type,Grade Range,School Category,Funding Group(s),NLC: Early Learning,NLC: Afterschool,NLC: Cont. Ed.,NLC: Seniors,NLC: Comm. Sport,NLC: Comm. Use,NLC: Integr. Svcs.,Phone,Fax,Email,Enrolment Total,Enrolment As Of,KH Enrolment,KF Enrolment,HS Registration,SU Enrolment,EU Enrolment,Grade 1 Enrolment,Grade 2 Enrolment,Grade 3 Enrolment,Grade 4 Enrolment,Grade 5 Enrolment,Grade 6 Enrolment,Grade 7 Enrolment,Grade 8 Enrolment,Grade 9 Enrolment,Grade 10 Enrolment,Grade 11 Enrolment,Grade 12 Enrolment,full_addr,full_addr_parsed,lat,lng,SCHOOL_YEAR,DISTRICT_NUMBER,DISTRICT_NAME,BOARDOFFICE_PHYSICAL_ADDRESS,DISTRICT_CITY,DISTRICT_PROVINCE,DISTRICT_POSTAL_CODE,DISTRICT_PHONE_NUMBER,DISTRICT_WEBSITE,X,Y
82,8297024,'Na Aksa Gyilak'yoo,PO Box 544 STN Main,Terrace                       ,BC             ,V8G 4B5,Ms,Shannon,McFee,Standard School                         ,K-12,Independent School,2.0,no,no,no,no,no,no,no,250 615-2844,250 615-2833,shannonnagk@gmail.com                                                                               ,80,September 30 2018,1,11,0,0,0,2,8,4,5,4,8,4,9,5,11,3,5,PO Box 544 STN Main Terrace BC V8G 4B5,PO+Box+544+STN+Main+Terrace+BC+V8G+4B5,54.5178565,-128.5889045,2018/19,82,Coast Mountains,3211 Kenney St,Terrace,BC,V8G3E9,250 635-4931,http://www.cmsd.bc.ca                                                                               ,-128.6122867,54.517189
82,8288028,Bear Valley School,PO Box 218,Stewart                       ,BC             ,V0T 1W0,Mr,Lionel,Brideson,Standard School                         ,K-12,Public School,,no,no,no,no,no,yes,no,250 636-2238,,lionel.brideson@cmsd.bc.ca,43,September 30 2018,0,1,0,0,0,2,6,1,3,7,2,2,6,3,3,4,3,PO Box 218 Stewart BC V0T 1W0,PO+Box+218+Stewart+BC+V0T+1W0,52.8812158,-127.7376901,2018/19,82,Coast Mountains,3211 Kenney St,Terrace,BC,V8G3E9,250 635-4931,http://www.cmsd.bc.ca                                                                               ,-128.6122867,54.517189
82,8288024,Caledonia Secondary,3605 Munroe St,Terrace                       ,BC             ,V8G 3C4,Mr,Keith,Axelson,Standard School                         ,10-12,Public School,,no,yes,no,no,yes,yes,no,250 635-6531,888 278-7438,keith.axelson@cmsd.bc.ca                                                                            ,493,September 30 2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167,170,156,3605 Munroe St Terrace BC V8G 3C4,3605+Munroe+St+Terrace+BC+V8G+3C4,54.525592,-128.606659,2018/19,82,Coast Mountains,3211 Kenney St,Terrace,BC,V8G3E9,250 635-4931,http://www.cmsd.bc.ca                                                                               ,-128.6122867,54.517189
82,8288013,Cassie Hall Elementary,2620 Eby St,Terrace                       ,BC             ,V8G 2X3,Mr,Steve,Wallace,Standard School                         ,K-6,Public School,,yes,no,no,no,no,yes,no,250 635-5646,888 287-5107,steve.wallace@cmsd.bc.ca                                                                            ,186,September 30 2018,0,33,0,0,0,32,20,21,32,22,26,0,0,0,0,0,0,2620 Eby St Terrace BC V8G 2X3,2620+Eby+St+Terrace+BC+V8G+2X3,54.5089005,-128.5984892,2018/19,82,Coast Mountains,3211 Kenney St,Terrace,BC,V8G3E9,250 635-4931,http://www.cmsd.bc.ca                                                                               ,-128.6122867,54.517189
82,8225386,Cassie Hall StrongStart Centre,2620 Eby St,Terrace                       ,BC             ,V8G 2X3,Mr,Steve,Wallace,Early Learning Program,Pre-K,StrongStart BC,,no,no,no,no,no,no,no,250 635-5646,,steve.wallace@cmsd.bc.ca                                                                            ,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2620 Eby St Terrace BC V8G 2X3,2620+Eby+St+Terrace+BC+V8G+2X3,54.5089005,-128.5984892,2018/19,82,Coast Mountains,3211 Kenney St,Terrace,BC,V8G3E9,250 635-4931,http://www.cmsd.bc.ca                                                                               ,-128.6122867,54.517189
82,8296183,Centennial Christian School,3608 Sparks St,Terrace                       ,BC             ,V8G 2V6,Mr,Edgar,Veldman,Standard School                         ,K-12,Independent School,1.0,no,no,no,no,no,no,no,250 635-6173,250 635-9385,office@centennialchristian.ca,173,September 30 2018,0,17,0,0,0,14,7,21,13,15,13,12,11,15,12,11,12,3608 Sparks St Terrace BC V8G 2V6,3608+Sparks+St+Terrace+BC+V8G+2V6,54.524989,-128.590021,2018/19,82,Coast Mountains,3211 Kenney St,Terrace,BC,V8G3E9,250 635-4931,http://www.cmsd.bc.ca                                                                               ,-128.6122867,54.517189
82,8288020,Ecole Mountainview,3505 Bailey St,Terrace                       ,BC             ,V8G 5P5,Mr,Eric,Gearey,Standard School                         ,K-6,Public School,,yes,yes,no,no,yes,no,no,250 635-3115,888 456-3464,eric.gearey@cmsd.bc.ca                                                                              ,198,September 30 2018,0,46,0,0,0,30,34,33,11,26,18,0,0,0,0,0,0,3505 Bailey St Terrace BC V8G 5P5,3505+Bailey+St+Terrace+BC+V8G+5P5,54.523326,-128.622198,2018/19,82,Coast Mountains,3211 Kenney St,Terrace,BC,V8G3E9,250 635-4931,http://www.cmsd.bc.ca                                                                               ,-128.6122867,54.517189
82,8297020,Gitsegukla Elementary School,305 Park Dr,Gitsegukla                    ,BC             ,V0J 2J3,Mrs,Louise,Ormerod,Standard School                         ,K-7,Independent School,2.0,no,no,no,no,no,no,no,250 849-5739,250 849-5276,lormerod@geschool.ca                                                                                ,51,September 30 2018,0,7,0,0,0,8,6,6,8,6,6,4,0,0,0,0,0,305 Park Dr Gitsegukla BC V0J 2J3,305+Park+Dr+Gitsegukla+BC+V0J+2J3,55.0867651,-127.8206707,2018/19,82,Coast Mountains,3211 Kenney St,Terrace,BC,V8G3E9,250 635-4931,http://www.cmsd.bc.ca                                                                               ,-128.6122867,54.517189
82,8299222,Hazelton Alternate Program,PO Box 300,Hazelton                      ,BC             ,V0J 1Y0,Mr,Mark,Newbery,Alternate Programs                      ,No Enrolment Reported,Public School,,no,no,no,no,no,no,no,250 842-5214,888 503-6959,mark.newbery@cmsd.bc.ca                                                                             ,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PO Box 300 Hazelton BC V0J 1Y0,PO+Box+300+Hazelton+BC+V0J+1Y0,55.2568166,-127.6720019,2018/19,82,Coast Mountains,3211 Kenney St,Terrace,BC,V8G3E9,250 635-4931,http://www.cmsd.bc.ca                                                                               ,-128.6122867,54.517189
82,8288006,Hazelton Secondary,PO Box 300,Hazelton                      ,BC             ,V0J 1Y0,Mr,Vince,Dikaitis,Standard School                         ,8-12,Public School,,no,yes,no,no,yes,yes,no,250 842-5214,888 503-6959,vince.dikaitis@cmsd.bc.ca                                                                           ,403,September 30 2018,0,0,0,0,0,0,0,0,0,0,0,0,88,71,94,75,75,PO Box 300 Hazelton BC V0J 1Y0,PO+Box+300+Hazelton+BC+V0J+1Y0,55.2568166,-127.6720019,2018/19,82,Coast Mountains,3211 Kenney St,Terrace,BC,V8G3E9,250 635-4931,http://www.cmsd.bc.ca                                                                               ,-128.6122867,54.517189
