District Number,School Code,School Name,Address,City,Province,Postal Code,Principal Title,Principal First name,Principal Last Name,Type,Grade Range,School Category,Funding Group(s),NLC: Early Learning,NLC: Afterschool,NLC: Cont. Ed.,NLC: Seniors,NLC: Comm. Sport,NLC: Comm. Use,NLC: Integr. Svcs.,Phone,Fax,Email,Enrolment Total,Enrolment As Of,KH Enrolment,KF Enrolment,HS Registration,SU Enrolment,EU Enrolment,Grade 1 Enrolment,Grade 2 Enrolment,Grade 3 Enrolment,Grade 4 Enrolment,Grade 5 Enrolment,Grade 6 Enrolment,Grade 7 Enrolment,Grade 8 Enrolment,Grade 9 Enrolment,Grade 10 Enrolment,Grade 11 Enrolment,Grade 12 Enrolment
082,08297024,'Na Aksa Gyilak'yoo,PO Box 544 STN Main,Terrace                       ,BC             ,V8G 4B5,Ms,Shannon,McFee,Standard School                         ,K-12,Independent School,2,no,no,no,no,no,no,no,250 615-2844,250 615-2833,shannonnagk@gmail.com                                                                               ,80,September 30 2018,1,11,0,0,0,2,8,4,5,4,8,4,9,5,11,3,5
027,02727012,100 Mile House Elementary,PO Box 460,100 Mile House                ,BC             ,V0K 2E0,Ms,Maria,Telford,Standard School                         ,K-7,Public School,,no,no,no,no,no,no,no,250 395-2258,250 395-3621,maria.telford@sd27.bc.ca                                                                            ,360,September 30 2018,0,43,0,0,0,50,39,47,55,50,47,29,0,0,0,0,0
027,02725035,100 Mile StrongStart Centre,PO Box 460,100 Mile House                ,BC             ,V0K 2E0,,,,Early Learning Program,Pre-K,StrongStart BC,,no,no,no,no,no,no,no,250 395-2258,,                                                                                                    ,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
027,02727027,150 Mile Elementary,PO Box 259,150 Mile House                ,BC             ,V0K 2G0,Mr,Grant,Gustafson,Standard School                         ,K-6,Public School,,no,no,no,no,no,no,no,250 296-3356,250 296-3291,grant.gustafson@sd27.bc.ca,201,September 30 2018,0,27,0,0,0,34,24,34,25,30,27,0,0,0,0,0,0
005,00597007,?A'q'amnik Primary School,7500 Mission Rd,Cranbrook                     ,BC             ,V1C 7E5,Mrs,Eryn,Geddes,Standard School                         ,K-6,Independent School,2,no,no,no,no,no,no,no,250 489-5183,250 489-5455,egeddes@aqam.net                                                                                    ,49,September 30 2018,0,9,0,0,0,7,6,9,8,7,3,0,0,0,0,0,0
073,07399103,@ KOOL,1770 Springview Pl,Kamloops                      ,BC             ,V2E 1X9,Mr,Surinder,Brar,Distributed Learning Programs           ,"K-12, SU, GA",Public School,,no,no,no,no,no,no,no,778 471-6061,250 377-2257,sbrar@sd73.bc.ca                                                                                    ,612,September 30 2018,0,4,0,13,0,8,2,9,15,10,16,17,43,19,52,73,226
033,03333033,A D Rundle Middle School,45660 Hocking Ave,Chilliwack                    ,BC             ,V2P 1A1,Mr,R. Scott,Wallace,Standard School                         ,"6-8, EU, SU",Public School,,no,no,no,no,no,no,no,604 792-4257,604 792-3457,scott_wallace@sd33.bc.ca                                                                            ,354,September 30 2018,0,0,0,2,1,0,0,0,0,0,121,118,112,0,0,0,0
073,07324039,A E Perry Elementary,1380 Sherbrooke Ave,Kamloops                      ,BC             ,V2B 1W9,Mrs,Deanna,Brady,Standard School                         ,K-6,Public School,,no,no,no,no,no,no,no,250 376-6224,250 377-2226,dbrady@sd73.bc.ca                                                                                   ,318,September 30 2018,0,40,0,0,0,46,47,43,57,40,45,0,0,0,0,0,0
073,07325427,A E Perry StrongStart Centre,1380 Sherbrooke Ave,Kamloops                      ,BC             ,V2B 1W9,,,,Early Learning Program,Pre-K,StrongStart BC,,no,no,no,no,no,no,no,250 376-6224,,                                                                                                    ,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
036,03636051,A H P Matthew Elementary,13367 97 Ave,Surrey                        ,BC             ,V3T 1A4,Ms,Ixchel,Bradely,Standard School                         ,K-7,Public School,,no,yes,no,no,no,no,no,604 588-3415,604 588-7122,bradley_i@surreyschools.ca,389,September 30 2018,0,42,0,0,0,51,55,47,43,63,43,45,0,0,0,0,0
085,08585001,A J Elliott Elementary,PO Box 149,Sointula                      ,BC             ,V0N 3E0,Mrs,Melody,Watson,Standard School                         ,"K-7, EU",Public School,,no,no,no,no,yes,yes,no,250 973-6331,250 973-6553,mwatson@sd85.bc.ca                                                                                  ,38,September 30 2018,0,2,0,0,1,8,3,7,4,5,4,4,0,0,0,0,0
036,03636178,A J McLellan Elementary,16545 61 Ave,Surrey                        ,BC             ,V3S 5V4,Ms,Paula,Desautels,Standard School                         ,K-7,Public School,,no,no,no,no,no,no,no,604 574-7296,604 574-9073,ajmclellan@surreyschools.ca,530,September 30 2018,0,63,0,0,0,66,59,58,61,72,77,74,0,0,0,0,0
083,08389002,A L Fortune Secondary,500 Bass Ave,Enderby                       ,BC             ,V0E 1V2,Mr,Scott,Anderson,Standard School                         ,"7-12, GA",Public School,,no,yes,no,no,yes,yes,no,250 838-6431,250 804-7780,sanderso@sd83.bc.ca                                                                                 ,278,September 30 2018,0,0,0,0,0,0,0,0,0,0,0,44,61,40,42,37,53
023,02323031,A S Matheson Elementary,2090 Gordon Dr,Kelowna                       ,BC             ,V1Y 3H9,Mr,Derek,Lea,Standard School                         ,K-6,Public School,,yes,no,no,no,no,no,no,250 870-5112,250 870-5012,derek.lea@sd23.bc.ca                                                                                ,272,September 30 2018,0,43,3,0,0,37,49,33,37,33,40,0,0,0,0,0,0
070,07070028,A W Neill Elementary,5055 Compton Rd,Port Alberni                  ,BC             ,V9Y 7B5,Mr,Ron,Behnke,Standard School                         ,K-7,Public School,,no,no,no,no,no,no,no,250 723-8151,250 723-5997,bwitte@sd70.bc.ca                                                                                   ,313,September 30 2018,0,38,0,0,0,28,51,36,47,33,40,40,0,0,0,0,0
038,03838064,A.R. MacNeill Secondary,6611 No. 4 Rd,Richmond                      ,BC             ,V6Y 2T2,Ms,Marcy,Timmins,Standard School                         ,8-12,Public School,,no,no,no,no,no,no,no,604 668-6212,604 668-6202,macneill@sd38.bc.ca                                                                                 ,746,September 30 2018,0,0,0,0,0,0,0,0,0,0,0,0,152,137,134,160,163
023,02325033,A.S. Matheson StrongStart Centre,2090 Gordon Dr,Kelowna                       ,BC             ,V1Y 3H9,,,,Early Learning Program,Pre-K,StrongStart BC,,no,no,no,no,no,no,no,250 870-5112,,                                                                                                    ,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
087,08797074,Aatse Davie School,PO Box 79,Fort Ware                     ,BC             ,V0J 3B0,Mr,Andreas,Rohrbach,Standard School                         ,K-12,Independent School,2,no,no,no,no,no,no,no,250 471-2002,250 471-2080,aatse@pris.bc.ca                                                                                    ,98,September 30 2018,0,9,0,0,0,6,13,4,7,10,4,10,4,9,12,6,4
034,03496069,Abbotsford Christian School,35011 Old Clayburn Rd,Abbotsford                    ,BC             ,V2S 7L7,Mr,Julius,Siebenga,Standard School                         ,K-12,Independent School,1,no,no,no,no,no,no,no,604 755-1891,604 859-2240,jsiebenga@abbotsfordchristian.com,1067,September 30 2018,40,40,0,0,0,80,85,82,64,96,80,94,78,74,86,84,84
034,03434025,Abbotsford Middle School,33231 Bevan Ave,Abbotsford                    ,BC             ,V2S 0A9,Mr,Jamie,Beck,Standard School                         ,6-8,Public School,,no,no,no,no,no,no,no,604 859-7125,604 850-2260,jamie.beck@abbyschools.ca                                                                           ,690,September 30 2018,0,0,1,0,0,0,0,0,0,0,240,240,210,0,0,0,0
034,03434022,Abbotsford Senior Secondary School,33355 Bevan  Ave,Abbotsford                    ,BC             ,V2S 0E7,Mr,Rob,Comeau,Standard School                         ,9-12,Public School,,no,no,no,no,no,yes,yes,604 853-3367,604 853-3045,rob.comeau@abbyschools.ca                                                                           ,1127,September 30 2018,0,0,0,0,0,0,0,0,0,0,0,0,0,282,280,293,272
034,03434020,Abbotsford Traditional Middle School,2272 Windsor St,Abbotsford                    ,BC             ,V2T 6M1,Mr,Reg,Gabriel,Standard School                         ,6-8,Public School,,no,no,no,no,no,no,no,604 850-3511,604 850-7692,reg.gabriel@abbyschools.ca,336,September 30 2018,0,0,0,0,0,0,0,0,0,0,117,102,117,0,0,0,0
034,03434061,Abbotsford Traditional Senior Secondary,2272 Windsor St,Abbotsford                    ,BC             ,V2T 6M1,Mr,Glen,Hildebrand,Standard School                         ,9-12,Public School,,no,no,no,no,no,no,no,604 850-7029,604 850-7028,glen.hildebrand@abbyschools.ca,437,September 30 2018,0,0,0,0,0,0,0,0,0,0,0,0,0,136,102,94,105
034,03499101,Abbotsford Virtual School,33952 Pine St,Abbotsford                    ,BC             ,V2S 2P3,Mr,Brad,Hutchinson,Distributed Learning Programs           ,"K-12, GA",Public School,,no,no,no,no,no,no,no,604 859-9803,604 854-1463,brad.hutchinson@abbyschools.ca,545,September 30 2018,0,10,9,0,0,10,4,6,6,8,14,23,18,15,70,116,181
034,03434026,Aberdeen Elementary,2975 Bradner Rd,Abbotsford                    ,BC             ,V4X 1K6,Mr,David,Rossi,Standard School                         ,K-5,Public School,,no,no,no,no,no,no,no,604 856-5137,604 856-5714,david.rossi@abbyschools.ca,227,September 30 2018,0,52,0,0,0,47,40,36,24,28,0,0,0,0,0,0,0
073,07324071,Aberdeen Elementary,2191 Van Horne Dr,Kamloops                      ,BC             ,V1S 1L9,Mrs,Sally,Zryd,Standard School                         ,K-7,Public School,,no,no,no,no,no,no,no,250 372-5844,250 377-2253,szryd@sd73.bc.ca                                                                                    ,394,September 30 2018,0,51,1,0,0,58,51,50,48,41,51,44,0,0,0,0,0
023,02396689,Aberdeen Hall Preparatory School,950 Academy Way,Kelowna                       ,BC             ,V1V 3A4,Mr,Christopher,Grieve,Standard School                         ,K-6,Independent School,2,no,no,no,no,no,no,no,250 491-1270,250 491-1289,christopher.grieve@aberdeenhall.com,341,September 30 2018,0,37,0,0,0,52,46,48,41,57,60,0,0,0,0,0,0
023,02396825,Aberdeen Hall Senior,890 Academy Way,Kelowna                       ,BC             ,V1V 3A4,Mr,Christopher,Grieve,Standard School                         ,7-12,Independent School,2,no,no,no,no,no,no,no,250 491-1270,250 491-1289,christopher.grieve@aberdeenhall.com,298,September 30 2018,0,0,0,0,0,0,0,0,0,0,0,38,65,52,57,42,44
049,04997170,Acwsalcta Band School,PO Box 778,Bella Coola                   ,BC             ,V0T 1C0,Ms,Brittany,Hughes,Standard School                         ,K-12,Independent School,2,no,no,no,no,no,no,no,250 799-5911,250 799-5576,principal@acwsalcta.ca                                                                              ,149,September 30 2018,0,11,0,0,0,12,12,10,9,13,6,20,10,8,12,16,10
008,00886004,Adam Robertson Elementary,PO Box 1549,Creston                       ,BC             ,V0B 1G0,Ms,Joanne,Beddoes,Standard School                         ,K-7,Public School,,no,no,no,no,no,no,no,250 428-2051,250 428-2019,joannewilson@sd8.bc.ca                                                                              ,353,September 30 2018,0,40,0,0,0,38,42,40,56,46,48,43,0,0,0,0,0
036,03636153,Adams Road Elementary,18228 68 Ave,Surrey                        ,BC             ,V3S 9H5,Mrs,Joanne,Berka,Standard School                         ,K-7,Public School,,no,no,no,no,yes,no,no,604 595-1070,604 595-1071,adamsroad@surreyschools.ca,605,September 30 2018,0,70,0,0,0,81,87,74,74,74,82,63,0,0,0,0,0
039,03939032,Admiral Seymour Elementary,1130 Keefer St,Vancouver                     ,BC             ,V6A 1Z3,Ms,Dorothy,Watkins,Standard School                         ,K-7,Public School,,yes,yes,no,no,no,no,no,604 713-4641,604 713-4643,dwatkins@vsb.bc.ca                                                                                  ,148,September 30 2018,0,20,0,0,0,29,19,20,15,16,18,11,0,0,0,0,0
039,03925416,Admiral Seymour StrongStart Centre,1130 Keefer St,Vancouver                     ,BC             ,V6A 1Z3,,,,Early Learning Program,Pre-K,StrongStart BC,,no,no,no,no,no,no,no,604 713-4641,,                                                                                                    ,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
023,02395064,Adolescent Psychiatric Program,1940 Underhill St,Kelowna                       ,BC             ,V1X 5X7,Dr,Peter,Molloy,Short Term PRP                          ,No Enrolment Reported,Public School,,no,no,no,no,no,no,no,250 862-4300,,pmolloy@sd23.bc.ca                                                                                  ,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
036,03695058,Adolescent Psychiatric Unit Prog,14033 92 Ave,Surrey                        ,BC             ,V3V 0B7,Ms,Catherine,Remedios,Short Term PRP                          ,No Enrolment Reported,Public School,,no,no,no,no,no,no,no,604 595-5325,604 595-5326,remedios_c@surreyschools.ca,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
023,02323000,Adult Education SD#23,1825 Richter St,Kelowna                       ,BC             ,V1Y 2M8,Mr,Randy,Horne,Continuing Education                    ,"12, SU, GA",Public School,,no,no,yes,no,no,no,no,250 870-5120,250 870-5020,randy.horne@sd23.bc.ca                                                                              ,11,September 30 2018,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5
035,03599201,Advance Alternate,26850 29 Ave,Aldergrove                    ,BC             ,V4W 3C1,Mr,Jeremy,Lyndon,Alternate Programs                      ,11-12,Public School,,no,no,no,no,no,no,no,604 856-2521,604 856-9648,jlyndon@sd35.bc.ca                                                                                  ,30,September 30 2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,16
078,07899183,Agassiz Centre for Education,PO Box 69,Agassiz                       ,BC             ,V0M 1A0,Ms,Sandy,Balascak,Alternate Programs                      ,8-12,Public School,,no,no,no,no,no,no,no,604 796-9496,604 796-9467,sandy.balascak@sd78.bc.ca                                                                           ,16,September 30 2018,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,4,6
078,07896105,Agassiz Christian School,7571 Morrow Rd,Agassiz                       ,BC             ,V0M 1A2,Mrs,Judy,de Waal,Standard School                         ,K-7,Independent School,1,no,no,no,no,no,no,no,604 796-9310,855 299-0940,jdewaal@agassizchristianschool.com,76,September 30 2018,8,1,3,0,0,7,12,9,14,8,6,11,0,0,0,0,0
078,07876003,Agassiz Elem-Secondary,PO Box 1100,Agassiz                       ,BC             ,V0M 1A0,Mr,Greg,Lawley,Standard School                         ,7-12,Public School,,no,no,no,no,no,no,no,604 796-2238,604 796-3702,greg.lawley@sd78.bc.ca                                                                              ,315,September 30 2018,0,0,0,0,0,0,0,0,0,0,0,51,65,49,54,43,53
050,05050004,Agnes L Mathers Elementary Secondary,PO Box 227,Sandspit                      ,BC             ,V0T 1T0,Mr,William,Bedard,Standard School                         ,K-7,Public School,,no,no,no,no,no,no,no,250 637-5454,250 637-5451,wbedard@sd50.bc.ca                                                                                  ,31,September 30 2018,0,4,0,0,0,4,5,2,3,5,5,3,0,0,0,0,0
050,05025149,Agnes L Mathers StrongStart Centre,PO Box 227,Sandspit                      ,BC             ,V0T 1T0,,,,Early Learning Program,Pre-K,StrongStart BC,,no,no,no,no,no,no,no,250 637-5454,,                                                                                                    ,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
071,07171077,Airport Elementary,PO Box 40,Lazo                          ,BC             ,V0R 2K0,Mr,Al,Johnson,Standard School                         ,K-7,Public School,,no,no,no,no,no,no,no,250 339-3732,250 339-1874,albert.johnson@sd71.bc.ca                                                                           ,136,September 30 2018,0,14,0,0,0,15,16,24,21,14,19,13,0,0,0,0,0
040,04096747,Al-Hidayah School,7 - 6th St,New Westminster               ,BC             ,V3L 2Y7,Mr,Mazen,Turk,Standard School                         ,K-6,Independent School,3,no,no,no,no,no,no,no,604 524-2752,604 524-2757,al-hidayah@aicp.org                                                                                 ,44,September 30 2018,0,5,0,0,0,7,8,5,4,6,9,0,0,0,0,0,0
070,07070001,Alberni District Secondary,4000 Roger St,Port Alberni                  ,BC             ,V9Y 0B1,Mr,Robert,Souther,Standard School                         ,8-12,Public School,,no,yes,no,no,yes,yes,yes,250 723-6251,250 723-2126,adss@sd70.bc.ca                                                                                     ,1114,September 30 2018,0,0,0,0,0,0,0,0,0,0,0,0,249,248,189,217,211
070,07070006,Alberni Elementary,4645 Helen St,Port Alberni                  ,BC             ,V9Y 6P6,Mr,James,Messenger,Standard School                         ,K-7,Public School,,no,no,no,no,no,no,no,250 724-0623,250 724-0600,jmessenger@sd70.bc.ca                                                                               ,392,September 30 2018,0,55,0,0,0,43,44,43,45,59,45,58,0,0,0,0,0
070,07025172,Alberni StrongStart Centre,4645 Helen St,Port Alberni                  ,BC             ,V9Y 6P6,,,,Early Learning Program,Pre-K,StrongStart BC,,no,no,no,no,no,no,no,250 724-0623,,                                                                                                    ,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
075,07575028,Albert McMahon Elementary,32865 Cherry Ave,Mission                       ,BC             ,V2V 2V1,Ms,Hardeep,Grewal,Standard School                         ,K-6,Public School,,yes,no,no,no,no,no,no,604 826-0274,604 826-1760,hardeep.grewal@mpsd.ca                                                                              ,408,September 30 2018,0,58,0,0,0,37,58,71,65,59,60,0,0,0,0,0,0
