SCHOOL_NUMBER,ELIGIBLE_TO_GRAD_COUNT,GRAD_COUNT,GRADUATION_RATE,HONOURS_GRAD_COUNT,HONOURS_GRADUATION_RATE,Unnamed: 0,MINCODE,DISTRICT_NUMBER_x,NUM_OF_SCHOOLS_IN_DATA_LEVEL,TOTAL_CLASSES,CLASSES_WITH_ED_ASSIST,TOTAL_CLASSES_GREATER_30,AVG_CLASS_SIZE_K,AVG_CLASS_SIZE_1_3,AVG_CLASS_SIZE_4_7,AVG_CLASS_SIZE_8_12,DISTRICT_NUMBER_y,GRADE_8,GRADE_9,GRADE_10,GRADE_11,GRADE_12
1010006,25.86206896551724,24.551724137931036,94.84482758620688,12.948275862068966,51.01724137931034,3,1010006,10.0,1,93.46153846153848,19.779257553743104,6.733835931510352,18.04641057474624,20.101066897347074,24.568234505862414,16.23846153846154,10.0,4221.0,4128.0,3689.0,2664.0,2268.0
1010011,14.555555555555555,12.888888888888891,88.8888888888889,6.666666666666668,45.33333333333334,4,1010011,10.0,1,43.30769230769231,18.084443165307327,8.619473549706111,13.576923076923075,15.346153846153848,15.192307692307693,11.123076923076923,10.0,634.0,805.0,598.0,559.0,451.0
1919003,56.880597014925364,55.94029850746269,98.4776119402985,21.46268656716418,38.28358208955224,6,1919003,19.0,1,106.76923076923076,37.53846153846154,5.386659851776131,18.04641057474624,20.101066897347074,24.568234505862414,20.69230769230769,19.0,6521.0,4544.0,4627.0,4757.0,3835.0
2009010,79.33333333333333,76.14492753623189,95.7391304347826,35.95652173913044,45.23188405797102,13,2009010,20.0,1,141.69230769230768,18.384615384615387,4.835037055967289,18.04641057474624,20.101066897347074,23.25529339002685,23.200000000000006,20.0,10598.0,7766.0,6773.0,6437.0,5575.0
2011012,99.72,97.22666666666667,97.05333333333333,48.64,45.8,19,2011012,20.0,1,195.6923076923077,28.31270569994848,6.6305903398926676,18.04641057474624,20.101066897347074,24.568234505862414,24.261538461538464,20.0,13596.0,12847.0,9673.0,9391.0,8351.0
2011014,46.57142857142857,45.914285714285704,98.48571428571428,25.457142857142852,54.771428571428565,20,2011014,20.0,1,50.615384615384606,15.307692307692307,6.4767441860465125,18.61729800178644,20.63134371395612,26.169230769230765,22.161538461538463,20.0,2866.0,2765.0,1728.0,1762.0,1508.0
2222007,90.34722222222223,86.84722222222223,96.05555555555556,45.72222222222222,47.01388888888889,27,2222007,22.0,1,151.0,17.779257553743093,9.949399437771529,18.04641057474624,20.101066897347074,24.568234505862414,24.29230769230769,22.0,10302.0,9058.0,9065.0,8741.0,6340.0
2222017,118.14864864864865,114.54054054054056,96.56756756756756,61.270270270270274,49.33783783783784,35,2222017,22.0,1,166.0769230769231,20.31771909220464,8.617429082545362,18.04641057474624,20.101066897347074,24.509139543873,23.2,22.0,10040.0,8719.0,8997.0,9692.0,7959.0
2222022,100.4,98.55,98.1,60.93333333333333,61.31666666666667,38,2222022,22.0,1,105.30769230769229,11.933103707589257,7.3734985944288285,18.04641057474624,20.101066897347074,24.524524159257606,23.330769230769228,22.0,5784.0,5502.0,5942.0,6423.0,5942.0
2222025,98.11111111111113,96.77777777777777,98.56944444444444,46.77777777777778,45.65277777777778,40,2222025,22.0,1,99.76923076923076,18.397148865255797,6.386659851776132,18.04641057474624,20.101066897347074,24.568234505862414,23.29230769230769,22.0,6855.0,5355.0,5232.0,4813.0,4453.0
